	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200851070106	ダ	右	1400	晴	良	13:50	D6一　4歳以上		2008-7-1	2	姫路	1	(馬齢)		7	230	1	7	130	1	2	250	6	2-7	2120	10	2-7	730	9	6-7	590	8	2-6	870	12	7=>2	2300	8	2-6-7	2420	7	971256348	971526348	7,9,(5,6),2,1,4,3,8	7,6,(2,9),4,1,3,5,8			6.0	250	5.0	2-7	1030.0	4.0			
200851070107	ダ	右	1500	晴	良	14:25	B3二　3歳以上 		2008-7-1	2	姫路	1	(馬齢)		2	510	3	2	200	4	1	150	2	1-2	1030	5	1-2	470	6	2-7	520	8	1-7	1,050	17	2=>1	2880	13	1-2-7	5620	24	26714583	2,(6,7),1,4,5,8,3	27614583	2,7,(1,6),4,8,5,3			7.0	320	6.0				2=>1=>7	19470.0	71.0
200851070108	ダ	右	1400	晴	良	15:00	C1二　4歳以上		2008-7-1	2	姫路	1	(馬齢)		3	240	1	3	100	1	10	120	2	3-10	270	1	3-10	130	1	3-5	250	2	5-10	410	5	3=>10	540	1	3-5-10	780	2	1,3,2,7,10,4,8,5,(6,9)	1,3,2,7,10,4,8,5,(6,9)	(1,3),2,10,7,8,5,9,4,6	31102857496			5.0	200	4.0	3-8	240.0	1.0	3=>10=>5	2200.0	3.0
200851070201	ダ	右	1400	曇	良	11:10	F5三　3歳		2008-7-2	2	姫路	2	(馬齢)		3	530	3	3	220	2	4	460	5	3-4	3320	10	3-4	630	9	1-3	720	10	1-4	960	14	3=>4	4490	17	1-3-4	6910	19	7356214	3,7-5,6,2,1,4	3745126	3475126											
200851070202	ダ	右	1400	曇	良	11:40	F5二　3歳		2008-7-2	2	姫路	2	(馬齢)		8	670	3	8	120	2	7	100	1	7-8	180	1	7-8	150	1	6-8	520	8	6-7	480	7	8=>7	850	2	6-7-8	640	4	82746513	(2,8),7,4,6,5,(1,3)	87254631	87254631			6.0	200	6.0						
200851070203	ダ	右	1400	曇	良	12:10	F5一　3歳		2008-7-2	2	姫路	2	(馬齢)		4	380	2	4	140	2	5	360	6	4-5	1790	11	4-5	860	12	4-8	660	8	5-8	1,110	14	4=>5	2600	11	4-5-8	3970	15	58642371	58642371	58643217	58463217			8.0	220	5.0						
200851070204	ダ	右	1400	曇	良	12:40	D5四　4歳以上		2008-7-2	2	姫路	2	(馬齢)		8	180	1	8	150	2	2	240	6	2-8	1220	5	2-8	360	5	8-9	210	1	2-9	520	9	8=>2	1820	8	2-8-9	1340	5	851927643	8,5,9,1,2,7,6,4-3	8,(5,9),(1,2),7,6-4,3	8,9,5,2,1,7,6-4,3			9.0	150	3.0	2-8	710.0	4.0			
200851070205	ダ	右	1400	曇	良	13:10	D5三　4歳以上		2008-7-2	2	姫路	2	(馬齢)		9	480	4	9	210	4	6	130	2	6-9	930	4	6-9	360	3	8-9	580	8	6-8	780	11	9=>6	1890	8	6-8-9	3220	13	293814567	293814567	2,9,(6,8),1,4,(3,5),7	296815437			8.0	450	7.0	6-8	420.0	1.0			
200851070206	ダ	右	1400	曇	良	13:40	D5二　4歳以上		2008-7-2	2	姫路	2	(馬齢)		5	510	4	5	170	4	2	160	3	2-5	1100	6	2-5	460	6	5-8	430	5	2-8	210	2	5=>2	4180	15	2-5-8	930	3	589273146	5,8,(2,9),7,1,3,4,6	582913746	582913746			8.0	140	2.0	2-5	1540.0	6.0			
200851070207	ダ	右	1400	曇	良	14:10	D5一　4歳以上		2008-7-2	2	姫路	2	(馬齢)		3	2900	8	3	840	9	4	180	3	3-4	2560	11	3-4	780	10	3-9	2,360	26	4-9	530	8	3=>4	10130	36	3-4-9	5850	22	1,4,6,8,5,(2,9),7,3	1,4,6,8,5,2,9,(3,7)	146958372	1,4,6,(5,9),3,2,7,8			9.0	240	5.0	3-4	2830.0	11.0			
