	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	三連単:的中	三連単:配当	三連単:人気
200850011608	ダ	右	1230	曇	稍重	14:15	D3一　4歳以上		2008-1-16	20	園田	3	(馬齢)		9	100	1	9	100	1	7	100	2	7-9	160	1	7-9	110	1	8-9	250	3	7-8	350	7	9=>7	160	1	7-8-9	400	2	974825631	974852631	9,(4,7),8,5,6,2,1,3	9,7,4,8,6,5,1,2-3			8.0	180.0	6.0	7-8	120.0	1.0			
200850011609	ダ	右	1400	曇	稍重	14:45	C3二　4歳以上		2008-1-16	20	園田	3	(馬齢)		6	180	1	6	100	1	11	230	6	6-11	670	3	6-11	290	2	6-10	170	1	10-11	340	3	6=>11	770	2	6-10-11	450	1	511621012184739	5,11,(2,6),10,12,1,4,8,3,7,9	5,11,6,1,(10,12),2,8,4,3,7,9	511612110248739			10.0	120.0	2.0	5-8	440.0	2.0	6=>11=>10	2050.0	2.0
200850011701	ダ	右	1400	晴	稍重	11:10	F3二　3歳		2008-1-17	20	園田	4	(馬齢)		4	390	2	4	120	2	8	110	1	4-8	180	1	4-8	120	1	4-7	290	5	7-8	130	2	4=>8	370	2	4-7-8	300	1	7841356	7841356	8,4,7,(1,3),5,6	4871356											
200850011702	ダ	右	1400	晴	稍重	11:40	F3一　3歳		2008-1-17	20	園田	4	(馬齢)		2	1040	4	2	390	5	8	170	2	2-8	1460	5	2-8	290	3	2-7	1,200	15	7-8	480	6	2=>8	4950	18	2-7-8	4880	17	8,7,(2,6),(4,5),3,1	87624531	87264531	87245631			7.0	490.0	7.0						
200850011703	ダ	右	1400	晴	稍重	12:10	D2四　4歳以上		2008-1-17	20	園田	4	(馬齢)		10	170	1	10	110	2	11	100	1	10-11	230	1	10-11	190	3	5-10	170	2	5-11	160	1	10=>11	550	2	5-10-11	200	1	1610117589324	1,6,10,7,11,5,8,9,(2,3,4)	(1,6),10,11,(5,7),4,8,(2,3),9	1061115748329			5.0	110.0	3.0	8-8	250.0	2.0			
200850011704	ダ	右	1400	晴	稍重	12:40	D2三　4歳以上		2008-1-17	20	園田	4	(馬齢)		4	410	2	4	120	3	5	100	1	4-5	300	1	4-5	190	2	1-4	250	4	1-5	150	1	4=>5	1290	5	1-4-5	410	1	45169721038	4,5,1,(6,9),7,2,10,3,8	45197610238	45197621038			1.0	110.0	2.0	4-5	360.0	2.0			
200850011705	ダ	右	1400	晴	稍重	13:10	D2二　4歳以上		2008-1-17	20	園田	4	(馬齢)		7	260	2	7	100	2	9	100	3	7-9	570	3	7-9	150	2	4-7	150	1	4-9	150	3	7=>9	1140	6	4-7-9	220	1	1,6,11,4,(5,9),8,(3,7),(2,10)	1611459378210	6,11,9,(1,4),5,7,10,3,(2,8)	6114971510328			4.0	100.0	1.0	6-7	650.0	3.0			
200850011706	ダ	右	1400	晴	良	13:40	D2一　4歳以上		2008-1-17	20	園田	4	(馬齢)		10	120	1	10	100	1	2	100	2	2-10	200	1	2-10	150	1	5-10	370	5	2-5	490	7	10=>2	210	1	2-5-10	970	3	1129834571061	1129834105761	2,(10,11),9,4,3,5,7,8,6,1	(2,10),11,9,3,5,4,7,8,6,1			5.0	210.0	5.0	2-8	210.0	1.0			
200850011707	ダ	右	1400	晴	良	14:10	C4二　4歳以上		2008-1-17	20	園田	4	(馬齢)		2	420	2	2	130	2	10	870	9	2-10	29050	38	2-10	5,900	38	2-4	270	2	4-10	3,490	25	2=>10	46690	61	2-4-10	16470	45	781011212536491	7,8,10,11,2,12,(3,6),5,4,9,1	8,(7,11),2,10,6,3,4,5,12,9-1	8,7,11,2,10,4,6,3,5,9,12-1			4.0	100.0	1.0	2-7	3630.0	17.0			
200850011708	ダ	右	1400	晴	良	14:40	C4一　4歳以上		2008-1-17	20	園田	4	(馬齢)		4	630	3	4	140	2	5	110	1	4-5	490	1	4-5	250	2	2-4	450	6	2-5	370	4	4=>5	1240	3	2-4-5	1070	2	1728945113126	1,7,2,8,4,(5,11),9,12,3,6	8715119246123	8,(1,5),7,2,9,(3,4,11),6,12			2.0	240.0	5.0	4-5	500.0	2.0	4=>5=>2	6350.0	12.0
