	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気
200954092703	ダ	右	1300	曇	良	16:45	E2		2009-9-27	9	高知	6	(馬齢)		1	110	1	1-8	380	2	1-8	210	3	1-3	150	1	3-8	310	6	1=>8	440	2.0	1-3-8	380	1	1=>8=>3	800	2	17863524	17823645	18743625	18347625			1.0	100.0	1.0	8.0	180	5.0	3.0	110.0	2.0
200954092704	ダ	右	1300	曇	良	17:20	D4		2009-9-27	9	高知	6	(馬齢)		2	1210	4	2-8	1320	5	2-8	330	6	2-3	320	5	3-8	150	2	2=>8	5060	14.0	2-3-8	1400	5	2=>8=>3	12580	33	8,5,6,(2,4),3,1,7	86524317	86524317	86231754			2.0	390.0	4.0	8.0	190	2.0	3.0	270.0	3.0
200954092705	ダ	右	1300	曇	良	17:55	D3		2009-9-27	9	高知	6	(馬齢)		3	140	1	3-6	230	1	3-6	130	1	3-8	260	4	6-8	290	5	3=>6	310	1.0	3-6-8	480	2	3=>6=>8	910	2	25638741	2,5,3,6,8,7,(4,1)	2,(3,5),6,8,7,4,1	36825714			3.0	100.0	1.0	6.0	120	2.0	8.0	170.0	5.0
200954100901	ダ	右	1300	晴	重	15:35	Eハ		2009-10-9	10	高知	3	(馬齢)		3	120	1	3-4	630	3	3-4	330	3	2-3	350	5	2-4	1,120	10	3=>4	510	2.0	2-3-4	1440	6	3=>4=>2	2290	10	34152	34152	34512	34215			3.0	100.0	1.0	4.0	330	4.0			
200954100902	ダ	右	1300	晴	重	16:05	Eホ		2009-10-9	10	高知	3	(馬齢)		3	150	1	3-5	980	4	3-5	340	4	2-3	140	2	2-5	890	7	3=>5	1520	7.0	2-3-5	820	3	3=>5=>2	4070	12	235641	235641	2,3,5,(6,4),1	352461			3.0	140.0	1.0	5.0	1,090	6.0			
200954100903	ダ	右	1300	晴	重	16:35	Eニ		2009-10-9	10	高知	3	(馬齢)		1	410	2	1-6	2870	6	1-6	150	3	1-4	120	1	4-6	120	1	1=>6	5280	11.0	1-4-6	210	1	1=>6=>4	9870	19	463152	463152	463152	641352			1.0	8,880	2.0	6.0	19,000	4.0			
200954100904	ダ	右	1300	晴	重	17:05	D5		2009-10-9	10	高知	3	(馬齢)		1	100	1	1-2	270	1	1-2	120	1	1-3	140	2	2-3	180	4	1=>2	250	1.0	1-2-3	170	1	1=>2=>3	320	1	134256	132465	132645	123645			1.0	100	1.0	2.0	180	2.0			
200954100905	ダ	右	1300	晴	重	17:35	D4		2009-10-9	10	高知	3	(馬齢)		4	270	2	1-4	370	1	1-4	230	3	3-4	190	2	1-3	610	11	4=>1	770	1.0	1-3-4	950	5	4=>1=>3	2730	3	426153	(2,4),6,1,5,3	426135	416235			4.0	150	2.0	1.0	120	1.0			
200954100906	ダ	右	1300	晴	重	18:05	D3		2009-10-9	10	高知	3	(馬齢)		6	130	1	4-6	160	1	4-6	120	1	3-6	280	6	3-4	160	2	6=>4	190	1.0	3-4-6	650	3	6=>4=>3	790	3	564312	564312	564312	654312			6.0	100	1.0	4.0	140	2.0			
200954100907	ダ	右	1300	晴	重	18:35	Bロ		2009-10-9	10	高知	3	(馬齢)		5	100	1	1-5	760	4	1-5	440	5	5-6	370	4	1-6	800	8	5=>1	700	4.0	1-5-6	1300	6	5=>1=>6	2450	12	162354	162354	162354	156234			5.0	120	1.0	1.0	660	5.0			
200954100908	ダ	右	1300	晴	重	19:10	E4		2009-10-9	10	高知	3	(馬齢)		8	100	1	3-8	330	2	3-8	110	1	4-8	110	2	3-4	190	3	8=>3	300	2.0	3-4-8	180	1	8=>3=>4	540	2	87154623	87165432	83714652	83417652			8.0	100	1.0	3.0	100	3.0	4.0	100.0	2.0
200954100909	ダ	右	1400	晴	重	19:45	D2		2009-10-9	10	高知	3	(馬齢)		2	2710	7	2-5	3530	14	2-5	3,380	22	1-2	570	4	1-5	470	3	2=>5	6820	24.0	1-2-5	1930	8	2=>5=>1	20670	69	24351786	24351768	24356178	26154738			2.0	270	5.0	5.0	290	6.0	1.0	110.0	1.0
200954100910	ダ	右	1600	晴	重	20:20	土佐の日曜市特別 		2009-10-9	10	高知	3	(馬齢)		6	1290	3	6-8	380	2	6-8	170	2	2-6	890	10	2-8	490	6	6=>8	1340	5.0	2-6-8	1230	5	6=>8=>2	8940	25	567892413	568741293	685274913	685279413			6.0	110	2.0	8.0	100	1.0	2.0	300.0	5.0
200954101601	ダ	右	1300	晴	良	15:45	E14		2009-10-16	11	高知	1	(馬齢)		2	290	3	2-5	400	2	2-5	250	3	2-3	310	4	3-5	320	5	2=>5	710	4.0	2-3-5	550	2	2=>5=>3	2430	11	45231	45231	45231	25431			2.0	140	2.0	5.0	190	3.0			
200954101801	ダ	右	1300	晴	良	15:35	E6		2009-10-18	11	高知	3	(馬齢)		4	690	3	2-4	420	2	2-4	110	3	4-5	100	2	2-5	100	1	4=>2	1100	7.0	2-4-5	100	1	4=>2=>5	1270	6	1,4,5,(2,6),3	145263	4,(1,5),2,6,3	4,(2,5),1,6,3			4.0	140	3.0	2.0	100	1.0			
