	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
200930060205	ダ	右	1700	曇	良	17:05	D2　ー1組		2009-6-2	2	門別	3	60万円以下	(規定)	4.0	210.0	1.0	4.0	100	1.0	5.0	120	2.0	3.0	200	6.0	4-5	210.0	1.0	4-5	240.0	1.0	4=>5	370.0	1.0	3-4-5	380.0	1.0	4=>5=>3	1330.0	1.0	15468379	14586379	14583976	14538976											
200930060206	ダ	右	1000	曇	良	17:35	JRA認定フレッシュ		2009-6-2	2	門別	3	(規定)		7.0	160.0	1.0	7.0	120	1.0	9.0	200	4.0	5.0	440	6.0	7-8	560.0	2.0	7-9	630.0	2.0	7=>9	750.0	3.0	5-7-9	5930.0	17.0	7=>9=>5	10550.0	31.0			(3,6),9,2,8,4,7,5	7,(4,2),(8,3),6,9,5											
200930060207	ダ	右	1200	曇	良	18:10	JRA認定フレッシュ		2009-6-2	2	門別	3	牝(規定)		1.0	310.0	2.0	1.0	100	1.0	6.0	360	8.0	3.0	110	2.0				1-6	7650.0	19.0	1=>6	12730.0	30.0	1-3-6	4290.0	16.0	1=>6=>3	48210.0	118.0			1,(2,3),7,6-8,4	1,3,(6,7),2-(8,4)											
200930060208	ダ	右	1200	曇	良	18:45	JRA認定フレッシュ		2009-6-2	2	門別	3	(規定)		5.0	160.0	1.0	5.0	130	1.0	3.0	180	4.0	6.0	190	5.0				3-5	340.0	1.0	5=>3	560.0	1.0	3-5-6	1260.0	5.0	5=>3=>6	3630.0	8.0			1,(3,5),6,2,8,4-7	(1,3,5)-6,2,(8,4)-7											
200930060209	ダ	右	1800	曇	良	19:20	アンドロメダ特別 		2009-6-2	2	門別	3	600万円以下	(規定)	10.0	680.0	2.0	10.0	150	2.0	3.0	210	5.0	8.0	100	1.0	3-7	6030.0	12.0	3-10	5500.0	9.0	10=>3	14840.0	28.0	3-8-10	1020.0	3.0	10=>3=>8	24430.0	58.0	7,5,(8,13),1,10,(3,9),12,4,2,(6,11)	5,7,8,13,1,10,(3,9),12,4,2,(6,11)	(8,13),7,(10,3),9,1,5,12,4,2,11,6	8,13,3,7,10,9,1,12,4,(2,11),6,5											
200930060210	ダ	右	2000	曇	良	20:00	北海優駿〔H1〕	G	2009-6-2	2	門別	3	(定量)		7.0	280.0	2.0	7.0	110	2.0	6.0	110	1.0	1.0	320	7.0	6-7	210.0	1.0	6-7	200.0	1.0	7=>6	500.0	2.0	1-6-7	1730.0	4.0	7=>6=>1	5610.0	16.0	8,3,7,1,(9,6),4,5,2	8,3,7,(1,6),(4,9),(2,5)	(8,3),7,6,(1,9),5,(2,4)	(8,3),(7,6),(1,9)-5,4,2											
200930060211	ダ	右	1200	曇	良	20:30	ペガスス特別 		2009-6-2	2	門別	3	600万円以下	(別定)	4.0	230.0	1.0	4.0	120	1.0	6.0	130	2.0	12.0	280	5.0	4-5	320.0	1.0	4-6	400.0	1.0	4=>6	570.0	1.0	4-6-12	1740.0	3.0	4=>6=>12	5860.0	10.0			11451108136732129	11,4,5,1,10,(8,6),7,3,13,2,12,9											
200930060301	ダ	右	1000	晴	良	15:00	2歳　未勝利		2009-6-3	2	門別	4	(規定)		5.0	150.0	1.0	5.0	100	1.0	8.0	100	2.0	9.0	110	3.0	5-7	180.0	1.0	5-8	150.0	1.0	5=>8	210.0	1.0	5-8-9	220.0	1.0	5=>8=>9	610.0	1.0			8,(7,9),5,10,(4,6),(2,3),1	8,9,7,5,(4,10),6,(2,3),1											
200930060302	ダ	右	1200	晴	良	15:30	3歳　条件未		2009-6-3	2	門別	4	(規定)		5.0	110.0	1.0	5.0	100	1.0	9.0	150	3.0	8.0	200	4.0	5-8	210.0	1.0	5-9	200.0	1.0	5=>9	250.0	1.0	5-8-9	760.0	2.0	5=>9=>8	1400.0	3.0			10,(4,5),3,9,8,1,(2,6,7)	10,5,(4,9),3,8,1,7,2,6											
200930060303	ダ	右	1200	晴	良	16:00	3歳　条件未		2009-6-3	2	門別	4	(規定)		3.0	350.0	2.0	3.0	140	3.0	7.0	110	1.0	2.0	120	2.0	3-7	860.0	5.0	3-7	750.0	4.0	3=>7	2010.0	10.0	2-3-7	950.0	3.0	3=>7=>2	4960.0	14.0			3,7,2,5,1,(4,9),8,6-10	3,7,2,5,1,(8,9),4,6-10											
