	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	馬連:的中	馬連:配当	馬連:人気
199909010506	芝	右	2000	雨	良	12:55	4歳未勝利		1999-3-13	1	阪神	5	4歳未勝利	(混)[指](馬齢)	3	660	4	3	240	5	6	160	1	12.0	1,230	10.0	2-3	620	3																							12.6 - 11.6 - 12.1 - 12.6 - 12.8 - 12.8 - 12.2 - 12.5 - 11.8 - 12.5	12.6 - 24.2 - 36.3 - 48.9 - 61.7 - 74.5 - 86.7 - 99.2 - 111.0 - 123.5 (12.6-12.6)	3-6	1240.0	5.0
199909010507	ダ	右	1200	雨	良	13:25	4歳500万下		1999-3-13	1	阪神	5	4歳500万下	(混)(特指)(馬齢)	4	320	2	4	120	2	3	110	1	9.0	380	7.0	2-3	240	1																							12.6 - 11.3 - 12.2 - 12.2 - 11.7 - 12.9	12.6 - 23.9 - 36.1 - 48.3 - 60.0 - 72.9 (12.6-12.6)	3-4	280.0	1.0
199909010508	ダ	右	1400	雨	良	14:00	4歳以上500万下		1999-3-13	1	阪神	5	4歳以上500万下	[指](別定)	1	320	1	1	160	3	11	160	1	15.0	350	6.0	1-6	690	1																							12.6 - 11.1 - 11.6 - 12.3 - 12.3 - 12.6 - 13.6	12.6 - 23.7 - 35.3 - 47.6 - 59.9 - 72.5 - 86.1 (12.6-12.6)	1-11	800.0	1.0
199909010509	芝	右	2500	雨	良	14:35	淡路特別 		1999-3-13	1	阪神	5	4歳以上900万下	(混)[指](ハンデ)	2	3740	12	2	880	11	4	420	5	5.0	360	4.0	1-2	3490	13																							7.0 - 11.5 - 12.1 - 12.4 - 12.3 - 12.7 - 13.2 - 13.0 - 12.7 - 12.0 - 12.2 - 11.3 - 12.6	7.0 - 18.5 - 30.6 - 43.0 - 55.3 - 68.0 - 81.2 - 94.2 - 106.9 - 118.9 - 131.1 - 142.4 - 155.0 (7.0-7.0)	2-4	21510.0	58.0
199909010510	芝	右	2200	雨	良	15:10	すみれステークス 		1999-3-13	1	阪神	5	4歳オープン	(混)(特指)(別定)	10	340	2	10	160	2	5	360	5	16.0	190	3.0	3-5	1420	6																							12.7 - 11.5 - 11.9 - 12.9 - 13.2 - 13.3 - 12.8 - 12.2 - 12.1 - 11.5 - 12.7	12.7 - 24.2 - 36.1 - 49.0 - 62.2 - 75.5 - 88.3 - 100.5 - 112.6 - 124.1 - 136.8 (12.7-12.7)	5-10	3010.0	12.0
199909010601	ダ	右	1200	晴	良	10:05	4歳未勝利		1999-3-14	1	阪神	6	4歳未勝利	(市)(抽)[指](馬齢)	5	280	2	5	110	2	2	110	1	1.0	460	7.0	2-5	250	1																							12.8 - 11.2 - 11.9 - 12.3 - 12.2 - 12.8	12.8 - 24.0 - 35.9 - 48.2 - 60.4 - 73.2 (12.8-12.8)	2-5	250.0	1.0
199909010602	ダ	右	1800	晴	良	10:30	4歳未勝利		1999-3-14	1	阪神	6	4歳未勝利	[指](馬齢)	11	600	4	11	140	3	1	140	2	5.0	130	1.0	1-7	440	1																							12.8 - 12.1 - 13.2 - 12.9 - 13.6 - 13.5 - 13.2 - 12.0 - 12.8	12.8 - 24.9 - 38.1 - 51.0 - 64.6 - 78.1 - 91.3 - 103.3 - 116.1 (12.8-12.8)	1-11	1020.0	4.0
199909010603	ダ	右	1400	晴	良	10:55	4歳未勝利		1999-3-14	1	阪神	6	4歳未勝利	(混)[指](馬齢)	11	210	1	11	120	2	4	120	1	9.0	250	5.0	4-7	360	1																							12.8 - 11.4 - 12.1 - 12.3 - 12.5 - 12.4 - 13.8	12.8 - 24.2 - 36.3 - 48.6 - 61.1 - 73.5 - 87.3 (12.8-12.8)	4-11	430.0	1.0
199909010604	芝	右	1600	晴	良	11:20	4歳新馬		1999-3-14	1	阪神	6	4歳新馬	(混)[指](馬齢)	16	330	1	16	130	2	6	1,250	12	7.0	130	1.0	3-8	5680	17																							12.6 - 11.2 - 11.4 - 12.2 - 12.7 - 12.8 - 11.6 - 12.6	12.6 - 23.8 - 35.2 - 47.4 - 60.1 - 72.9 - 84.5 - 97.1 (12.6-12.6)	6-16	10000.0	26.0
199909010605	ダ	右	1800	晴	良	11:50	4歳500万下		1999-3-14	1	阪神	6	4歳500万下	(特指)(馬齢)	12	1290	5	12	430	5	3	2,140	11	5.0	750	8.0	2-7	5410	20																							12.8 - 11.0 - 12.5 - 12.2 - 12.8 - 13.0 - 12.5 - 12.3 - 14.1	12.8 - 23.8 - 36.3 - 48.5 - 61.3 - 74.3 - 86.8 - 99.1 - 113.2 (12.8-12.8)	3-12	57990.0	65.0
