	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
198703010602	芝	右	1800	曇	稍重	10:25	4歳未勝利		1987-7-5	1	福島	6	4歳未勝利	牝(馬齢)	4	760	4	4	150	3	5	130	2	10.0	100.0	1.0	4-5	1610	7																							12.6 - 11.5 - 13.1 - 13.2 - 12.4 - 11.8 - 12.4 - 12.4 - 12.3	12.6 - 24.1 - 37.2 - 50.4 - 62.8 - 74.6 - 87.0 - 99.4 - 111.7 (12.6-12.6)
198703010603	芝	右	1000	曇	稍重	10:50	4歳未勝利		1987-7-5	1	福島	6	4歳未勝利	(馬齢)	7	520	3	7	160	3	8	200	5	5.0	180.0	4.0	6-7	1330	10																							12.4 - 10.4 - 10.9 - 12.3 - 12.8	12.4 - 22.8 - 33.7 - 46.0 - 58.8 (12.4-12.4)
198703010604	ダ	右	1700	曇	重	11:20	4歳未勝利		1987-7-5	1	福島	6	4歳未勝利	(馬齢)	1	170	1	1	100	1	7	110	2	6.0	130.0	3.0	1-7	280	1																							6.8 - 11.2 - 11.4 - 12.3 - 13.2 - 12.9 - 13.3 - 13.3 - 13.7	6.8 - 18.0 - 29.4 - 41.7 - 54.9 - 67.8 - 81.1 - 94.4 - 108.1 (6.8-6.8)
198703010605	障		2800	曇	稍重	11:50	障害4歳以上未勝利		1987-7-5	1	福島	6	障害4歳以上未勝利	(馬齢)	5	870	4	5	310	5	3	350	7	2.0	500.0	8.0	3-5	3070	14																								
198703010606	ダ	右	1000	曇	重	12:50	4歳以上400万下		1987-7-5	1	福島	6	4歳以上400万下	(馬齢)	5	470	4	5	220	4	6	140	1				5-6	570	4																							12.3 - 11.0 - 11.3 - 11.9 - 12.7	12.3 - 23.3 - 34.6 - 46.5 - 59.2 (12.3-12.3)
198703010607	芝	右	1000	曇	良	13:25	4歳400万下		1987-7-5	1	福島	6	4歳400万下	(馬齢)	3	300	2	3	130	2	7	130	1	8.0	360.0	7.0	3-7	430	1																							12.1 - 10.5 - 11.1 - 11.8 - 12.2	12.1 - 22.6 - 33.7 - 45.5 - 57.7 (12.1-12.1)
198703010608	芝	右	1800	晴	良	14:00	4歳以上400万下		1987-7-5	1	福島	6	4歳以上400万下	(混)(馬齢)	8	180	1	8	130	1	3	340	7	4.0	230.0	4.0	3-7	1540	7																							12.5 - 10.7 - 12.4 - 12.3 - 12.1 - 11.9 - 12.4 - 12.7 - 12.2	12.5 - 23.2 - 35.6 - 47.9 - 60.0 - 71.9 - 84.3 - 97.0 - 109.2 (12.5-12.5)
198703010609	芝	右	1700	晴	良	14:35	あさがお賞 		1987-7-5	1	福島	6	4歳400万下	(別定)	2	4100	11	2	710	11	3	180	2	4.0	370.0	5.0	2-3	7140	23																							7.0 - 10.4 - 11.8 - 11.9 - 12.0 - 12.2 - 12.2 - 12.9 - 12.7	7.0 - 17.4 - 29.2 - 41.1 - 53.1 - 65.3 - 77.5 - 90.4 - 103.1 (7.0-7.0)
198703010610	芝	右	1800	晴	良	15:10	伏拝特別 		1987-7-5	1	福島	6	4歳以上900万下	(別定)	2	1550	8	2	320	7	8	130	1	3.0	260.0	4.0	1-4	1540	7																							12.6 - 10.6 - 12.6 - 12.6 - 11.8 - 11.8 - 12.3 - 12.7 - 12.2	12.6 - 23.2 - 35.8 - 48.4 - 60.2 - 72.0 - 84.3 - 97.0 - 109.2 (12.6-12.6)
198703010611	芝	右	1800	晴	良	15:45	ラジオたんぱ賞	G3	1987-7-5	1	福島	6	4歳オープン	(別定)	3	370	3	3	150	3	4	110	1	1.0	240.0	4.0	3-4	450	2																							12.4 - 11.3 - 12.4 - 12.7 - 12.3 - 11.8 - 11.6 - 11.9 - 12.4	12.4 - 23.7 - 36.1 - 48.8 - 61.1 - 72.9 - 84.5 - 96.4 - 108.8 (12.4-12.4)
