	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
202035052409	ダ	左	1400	晴	良	17:00	C1五組		2020-5-24	1	盛岡	4			1.0	2580.0	6.0	1.0	270	5.0	2.0	350.0	7.0	11.0	100	1.0	1-2	14700.0	29.0	1-2	2,540	26.0	1-11	460	4.0	2-11	750	9.0	1=>2	33340.0	59.0	1-2-11	5340.0	18.0	1=>2=>11	94120.0	239.0			9101135826174	9,(10,11),3,5,1,2,6,8,7,4			1-2	14610.0	20.0
202035052410	ダ	左	1400	晴	良	17:35	スモークツリー賞		2020-5-24	1	盛岡	4			1.0	470.0	3.0	1.0	200	3.0	9.0	340.0	6.0	8.0	220	4.0	1-9	3620.0	16.0	1-9	700	8.0	1-8	840	12.0	8-9	1,330	18.0	1=>9	7490.0	31.0	1-8-9	10460.0	44.0	1=>9=>8	65370.0	239.0			471012111896235.0	471218361191025.0			1-7	3190.0	15.0
202035052501	ダ	左	1400	晴	稍重	12:20	3歳C1二組		2020-5-25	1	盛岡	5			4.0	740.0	5.0	4.0	220	5.0	9.0	180.0	3.0	5.0	330	6.0	4-9	1130.0	7.0	4-9	440	6.0	4-5	970	11.0	5-9	1,170	14.0	4=>9	2490.0	14.0	4-5-9	2860.0	14.0	4=>9=>5	13220.0	54.0			4,9,7,5,8,3,6-2,10,1	49756328110			4-8	1060.0	7.0
202035052502	ダ	左	1000	晴	稍重	12:50	C2		2020-5-25	1	盛岡	5			4.0	160.0	1.0	4.0	100	1.0	6.0	180.0	4.0	9.0	200	5.0	4-6	580.0	3.0	4-6	280	3.0	4-9	290	4.0	6-9	880	13.0	4=>6	770.0	3.0	4-6-9	2040.0	9.0	4=>6=>9	4770.0	14.0			479165382.0	479613582.0			4-6	600.0	3.0
202035052503	ダ	左	1000	晴	稍重	13:20	C2		2020-5-25	1	盛岡	5			3.0	580.0	2.0	3.0	160	3.0	5.0	380.0	6.0	9.0	110	1.0	3-5	6360.0	13.0	3-5	1,470	16.0	3-9	180	1.0	5-9	750	9.0	3=>5	17740.0	23.0	3-5-9	1980.0	7.0	3=>5=>9	42160.0	89.0			(5,7),3,9,8,2,1,6,4	573921846			3-5	6760.0	12.0
202035052504	ダ	左	1200	晴	稍重	13:50	C2十組		2020-5-25	1	盛岡	5			1.0	160.0	1.0	1.0	110	1.0	4.0	490.0	7.0	9.0	320	5.0	1-4	3230.0	9.0	1-4	1,050	13.0	1-9	690	6.0	4-9	3,740	24.0	1=>4	3020.0	7.0	1-4-9	11990.0	34.0	1=>4=>9	19930.0	53.0			162594738.0	162954378.0			1-4	2260.0	8.0
202035052505	ダ	左	1200	晴	良	14:25	C2九組		2020-5-25	1	盛岡	5			8.0	650.0	3.0	8.0	320	5.0	1.0	420.0	8.0	3.0	400	7.0	1-8	5790.0	26.0	1-8	1,630	23.0	3-8	1,420	22.0	1-3	1,930	27.0	8=>1	9370.0	45.0	1-3-8	19300.0	84.0	8=>1=>3	74550.0	335.0			81039762541.0	81034967521.0			1-7	3470.0	16.0
202035052506	ダ	左	1400	晴	良	15:00	C2八組		2020-5-25	1	盛岡	5			10.0	960.0	6.0	10.0	330	7.0	8.0	270.0	4.0	1.0	170	2.0	8-10	2710.0	12.0	8-10	1,170	17.0	1-10	890	12.0	1-8	490	3.0	10=>8	5330.0	27.0	1-8-10	4970.0	20.0	10=>8=>1	31070.0	125.0			7,8,10,4,(2,1),9,3,(5,6)	78101942635			7-8	1200.0	5.0
202035052507	ダ	左	1400	晴	良	15:35	C2七組		2020-5-25	1	盛岡	5			2.0	700.0	5.0	2.0	200	3.0	6.0	170.0	1.0	10.0	1,520	10.0	2-6	1260.0	3.0	2-6	360	2.0	2-10	4,850	39.0	6-10	4,010	37.0	2=>6	2770.0	11.0	2-6-10	20540.0	64.0	2=>6=>10	112480.0	373.0			47961021853	(4,7,9),6,1,2,10,5,3,8			2-6	1070.0	3.0
202035052508	ダ	左	1400	晴	良	16:10	C1七組		2020-5-25	1	盛岡	5			11.0	120.0	1.0	11.0	120	1.0	10.0	180.0	5.0	9.0	170	4.0	10-11	420.0	2.0	10-11	170	2.0	9-11	150	1.0	9-10	480	6.0	11=>10	410.0	2.0	9-10-11	650.0	1.0	11=>10=>9	1430.0	1.0			2,3,11,10,1,9,6,(4,8),5	113210196845			8-8	370.0	2.0
