horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a01139f	2020	657	4	0	16	0	1.0	0.0	1.0	0.0	14.0	0.0	13.0	0.0	3.0	0.0	0.0	0.07	183.0	0.0	0.0	2016103309.0
000a01139f	2019	283	4	3	15	3	3.0	0.0	5.0	1.0	7.0	2.0	14.0	3.0	1.0	0.0	0.75	1.46	3605.8	1533.3	0.0	2016110043.0
000a01139f	2018	484	5	1	10	1	0.0	0.0	0.0	0.0	10.0	1.0	6.0	1.0	4.0	0.0	0.2	0.29	890.0	1400.0	0.0	2016110043.0
000a01139f	2017	682	3	0	9	0	0.0	0.0	0.0	0.0	9.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2014100055.0
000a010db9	2021	204	7	1	17	1	0.0	0.0	9.0	1.0	8.0	0.0	14.0	1.0	3.0	0.0	0.143	0.97	3158.7	2600.0	0.0	2016103080.0
000a010db9	2020	334	8	3	25	3	1.0	0.0	8.0	0.0	16.0	3.0	21.0	3.0	4.0	0.0	0.375	0.53	2635.0	1666.7	0.0	2018102608.0
000a010db9	2019	309	5	2	20	2	0.0	0.0	11.0	0.0	9.0	2.0	17.0	2.0	3.0	0.0	0.4	0.97	2986.6	1800.0	0.0	2016103080.0
000a010db9	2018	482	3	0	13	0	1.0	0.0	4.0	0.0	8.0	0.0	12.0	0.0	1.0	0.0	0.0	0.49	910.0	0.0	0.0	2015102392.0
000a010db9	2017	372	1	1	4	2	0.0	0.0	1.0	1.0	3.0	1.0	4.0	2.0	0.0	0.0	1.0	3.05	1902.4	1500.0	0.0	2015102392.0
000a0115cc	2021	276	3	1	14	2	0.0	0.0	1.0	0.0	13.0	2.0	0.0	0.0	14.0	2.0	0.3329999999999999	1.29	1807.0	0.0	1200.0	2018103121.0
000a0115cc	2020	478	4	1	10	1	0.0	0.0	2.0	0.0	8.0	1.0	0.0	0.0	10.0	1.0	0.25	0.4	987.0	0.0	1400.0	2017102907.0
000a0115cc	2019	535	2	1	3	1	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	1.0	0.5	0.57	700.0	0.0	1400.0	2017102907.0
